frame,Moyennes de déplacement,Moyennes de déplacement
1,62.623703315516636,"62,6237033155166"
2,62.883111969965405,"62,8831119699654"
3,67.19489144612018,"67,1948914461202"
4,60.141359415493646,"60,1413594154936"
5,62.700818655807,"62,700818655807"
6,63.475685592059556,"63,4756855920596"
7,61.744456075368966,"61,744456075369"
8,59.846148661488215,"59,8461486614882"
9,60.88969233697087,"60,8896923369709"
10,59.55745522956676,"59,5574552295668"
11,59.97154582645494,"59,9715458264549"
12,58.0849888596804,"58,0849888596804"
13,55.20117480620801,"55,201174806208"
14,56.297095716278285,"56,2970957162783"
15,60.51497675676442,"60,5149767567644"
16,49.917501171606396,"49,9175011716064"
17,53.47432998755232,"53,4743299875523"
18,54.02727244223287,"54,0272724422329"
19,44.63276530574138,"44,6327653057414"
20,53.03729974449668,"53,0372997444967"
21,45.5056556714456,"45,5056556714456"
22,45.163879984290716,"45,1638799842907"
23,45.625928142044515,"45,6259281420445"
24,42.050188517080585,"42,0501885170806"
25,34.341144168695685,"34,3411441686957"
26,44.54652297017184,"44,5465229701718"
27,35.933498844717576,"35,9334988447176"
28,35.08762049398478,"35,0876204939848"
29,29.766692999177657,"29,7666929991777"
30,36.6614420905662,"36,6614420905662"
31,27.047778039579004,"27,047778039579"
32,25.292170709001816,"25,2921707090018"
33,25.515558984763818,"25,5155589847638"
34,18.341029809960318,"18,3410298099603"
35,21.15558006435258,"21,1555800643526"
36,12.637448345986037,"12,637448345986"
37,15.850360565958256,"15,8503605659583"
38,10.582434222575806,"10,5824342225758"
39,9.076255628233453,"9,07625562823345"
40,7.888597384868741,"7,88859738486874"
41,3.1820684061464286,"3,18206840614643"
42,1.3131313530637125,"1,31313135306371"
43,4.97660544156935,"4,97660544156935"
44,7.955387954300229,"7,95538795430023"
45,6.963307266556963,"6,96330726655696"
46,10.096414815304676,"10,0964148153047"
47,11.24113402942227,"11,2411340294223"
48,20.045436644656853,"20,0454366446568"
49,18.468786321078245,"18,4687863210782"
50,21.79083244884597,"21,790832448846"
51,20.50379063644434,"20,5037906364443"
52,26.52935085229354,"26,5293508522935"
53,31.17077305356393,"31,1707730535639"
54,28.82964136043365,"28,8296413604337"
55,33.20762217171474,"33,2076221717147"
56,30.107423067576207,"30,1074230675762"
57,36.42129473918741,"36,4212947391874"
58,40.700595017669094,"40,7005950176691"
59,34.83514609184649,"34,8351460918465"
60,45.32015471324314,"45,3201547132431"
61,47.06418140931497,"47,064181409315"
62,40.079844060138335,"40,0798440601383"
63,57.12331424634518,"57,1233142463452"
64,44.60813996840085,"44,6081399684009"
65,49.3009769607944,"49,3009769607944"
66,53.94457049022647,"53,9445704902265"
67,45.67329271055518,"45,6732927105552"
68,58.013434467795356,"58,0134344677954"
69,53.972196431005145,"53,9721964310052"
70,55.33559169538208,"55,3355916953821"
71,58.00603121854686,"58,0060312185469"
72,58.54704298801363,"58,5470429880136"
73,61.67965135462301,"61,679651354623"
74,56.523953085652266,"56,5239530856523"
75,62.23206118794862,"62,2320611879486"
76,63.35255701953668,"63,3525570195367"
77,60.52751044293967,"60,5275104429397"
78,64.77368325606939,"64,7736832560694"
79,60.4590196821972,"60,4590196821972"
80,61.961390683812695,"61,9613906838127"
81,63.69027331318312,"63,6902733131831"
82,62.86415937020531,"62,8641593702053"
83,59.812353725569636,"59,8123537255696"
84,65.5959268050464,"65,5959268050464"
85,60.57531829203685,"60,5753182920368"
86,61.86808485465886,"61,8680848546589"
87,58.61408609745266,"58,6140860974527"
88,64.98375801043238,"64,9837580104324"
89,55.468205937047806,"55,4682059370478"
90,59.46322732245262,"59,4632273224526"
91,54.92346982756655,"54,9234698275666"
92,57.66807668831882,"57,6680766883188"
93,57.96665661494512,"57,9666566149451"
94,51.37716068605842,"51,3771606860584"
95,56.34392694763108,"56,3439269476311"
96,53.29955525768772,"53,2995552576877"
97,49.97338410052226,"49,9733841005223"
98,45.84867043899792,"45,8486704389979"
99,47.28776823410204,"47,287768234102"
100,46.94459534008578,"46,9445953400858"
101,45.73054335359102,"45,730543353591"
102,40.191138343185074,"40,1911383431851"
103,40.263873947972506,"40,2638739479725"
104,39.216461335707436,"39,2164613357074"
105,35.903802186514774,"35,9038021865148"
106,32.730270558884094,"32,7302705588841"
107,31.96431268552475,"31,9643126855247"
108,29.890552652772968,"29,890552652773"
109,29.102864173925965,"29,102864173926"
110,26.533027105340764,"26,5330271053408"
111,21.83297203899834,"21,8329720389983"
112,17.462835158100106,"17,4628351581001"
113,16.865424261145165,"16,8654242611452"
114,18.461034948569647,"18,4610349485696"
115,12.272565925612284,"12,2725659256123"
116,11.935071783421748,"11,9350717834217"
117,7.660687879208383,"7,66068787920838"
118,5.095134427396095,"5,0951344273961"
119,6.221458031438171,"6,22145803143817"
120,3.3017047318188997,"3,3017047318189"
121,1.7425152295034059,"1,74251522950341"
122,3.22329302478803,"3,22329302478803"
123,8.124494101290146,"8,12449410129015"
124,10.8305837626701,"10,8305837626701"
125,13.981242927983045,"13,981242927983"
126,13.63898236722827,"13,6389823672283"
127,20.20359063792009,"20,2035906379201"
128,20.8799833300038,"20,8799833300038"
129,21.081340241023454,"21,0813402410235"
130,22.607136811092577,"22,6071368110926"
131,29.66602504439245,"29,6660250443924"
132,30.133876822600005,"30,1338768226"
133,30.820030182704564,"30,8200301827046"
134,34.78085039295676,"34,7808503929568"
135,31.32162815880136,"31,3216281588014"
136,40.42060733729145,"40,4206073372915"
137,36.69711582138644,"36,6971158213864"
138,42.53435238639026,"42,5343523863903"
139,39.514304802187624,"39,5143048021876"
140,48.461834986739895,"48,4618349867399"
141,44.436725913730136,"44,4367259137301"
142,48.698285596558414,"48,6982855965584"
143,51.09919240893907,"51,0991924089391"
144,48.01547887455894,"48,0154788745589"
145,49.39446725026664,"49,3944672502667"
146,56.758307190962306,"56,7583071909623"
147,55.13469076295114,"55,1346907629511"
148,57.97461415217463,"57,9746141521746"
149,58.00302659868072,"58,0030265986807"
150,55.92369542092653,"55,9236954209265"
151,58.647181150019755,"58,6471811500198"
152,62.28998110042518,"62,2899811004252"
153,60.198919646458386,"60,1989196464584"
154,60.09711515439052,"60,0971151543905"
155,63.67829320963839,"63,6782932096384"
156,57.243877125243934,"57,2438771252439"
157,66.06141939337863,"66,0614193933786"
158,65.44542515144362,"65,4454251514436"
159,59.95603911446783,"59,9560391144678"
160,60.586949371666016,"60,586949371666"
161,65.53691842829802,"65,536918428298"
162,59.8724490530805,"59,8724490530805"
163,64.12665193743516,"64,1266519374352"
164,59.63918896447506,"59,6391889644751"
165,60.14128317461801,"60,141283174618"
166,60.082289114431525,"60,0822891144315"
167,60.095849236451095,"60,0958492364511"
168,58.09677216679953,"58,0967721667995"
169,58.279917803585526,"58,2799178035855"
170,54.71607367854464,"54,7160736785446"
171,58.116603823805185,"58,1166038238052"
172,53.619806535307156,"53,6198065353072"
173,55.24801610887203,"55,248016108872"
174,49.72540452606002,"49,72540452606"
175,46.62675279040489,"46,6267527904049"
176,60.35368295681974,"60,3536829568197"
177,41.70938988138812,"41,7093898813881"
178,47.21227728782574,"47,2122772878257"
179,48.12676510306401,"48,126765103064"
180,42.21331725758551,"42,2133172575855"
181,41.52972979406117,"41,5297297940612"
182,39.01082698234793,"39,0108269823479"
183,34.52361650269714,"34,5236165026971"
184,34.4190596322262,"34,4190596322262"
185,35.64540241431024,"35,6454024143102"
186,27.033408417762647,"27,0334084177626"
187,28.01045742516239,"28,0104574251624"
188,26.38034247807264,"26,3803424780726"
189,23.243002985549445,"23,2430029855494"
190,22.218854476154767,"22,2188544761548"
191,19.76710088312254,"19,7671008831225"
192,15.70429835291995,"15,70429835292"
193,13.981470873372967,"13,981470873373"
194,10.962226307007201,"10,9622263070072"
195,9.026510904239618,"9,02651090423962"
196,6.8539695309503035,"6,8539695309503"
197,6.047117003895928,"6,04711700389593"
198,1.4544886476697243,"1,45448864766972"
199,5.155928127129696,"5,1559281271297"
200,6.174599819006421,"6,17459981900642"
201,7.746617160528715,"7,74661716052872"
202,8.948449507212855,"8,94844950721286"
203,13.485759950206276,"13,4857599502063"
204,20.14697420365649,"20,1469742036565"
205,16.911353934965604,"16,9113539349656"
206,18.317436553655632,"18,3174365536556"
207,19.928065996576812,"19,9280659965768"
208,25.157393572878476,"25,1573935728785"
209,30.898071120001077,"30,8980711200011"
210,30.65666239134705,"30,6566623913471"
211,36.73686396046643,"36,7368639604664"
212,25.225389370251722,"25,2253893702517"
213,37.494077642702685,"37,4940776427027"
214,41.649976105824194,"41,6499761058242"
215,39.585059691546284,"39,5850596915463"
216,39.69976360536826,"39,6997636053683"
217,41.40184901039562,"41,4018490103956"
218,43.96645187482399,"43,966451874824"
219,46.032618878622884,"46,0326188786229"
220,49.058284290820566,"49,0582842908206"
221,49.32305757808198,"49,323057578082"
222,46.71041433147164,"46,7104143314716"
223,57.57352358018361,"57,5735235801836"
224,52.55768445677683,"52,5576844567768"
225,53.24777292752629,"53,2477729275263"
226,58.62388131264123,"58,6238813126412"
227,53.90273777691032,"53,9027377769103"
228,58.94310745582453,"58,9431074558245"
229,58.232842702662836,"58,2328427026628"
230,59.27946235933652,"59,2794623593365"
231,63.13840336748723,"63,1384033674872"
232,60.27072307058791,"60,2707230705879"
233,60.413248667174,"60,413248667174"
234,62.746319678240376,"62,7463196782404"
235,61.97117455981486,"61,9711745598149"
